refseq_id	virus_name	feature_group	cancer_associated
NC_001401	Adeno-associated virus - 2	Adeno-associated virus	0
NC_001729	Adeno-associated virus - 3	Adeno-associated virus	0
NC_001829	Adeno-associated virus - 4	Adeno-associated virus	0
NC_006152	Adeno-associated virus - 5	Adeno-associated virus	0
AF028704	Adeno-associated virus - 6	Adeno-associated virus	0
AF028705	Adeno-associated virus 3B	Adeno-associated virus	0
NC_007548	Adult diarrheal rotavirus strain J19		0
NC_007549	Adult diarrheal rotavirus strain J19		0
NC_007550	Adult diarrheal rotavirus strain J19		0
NC_007551	Adult diarrheal rotavirus strain J19		0
NC_007552	Adult diarrheal rotavirus strain J19		0
NC_007553	Adult diarrheal rotavirus strain J19		0
NC_007554	Adult diarrheal rotavirus strain J19		0
NC_007555	Adult diarrheal rotavirus strain J19		0
NC_007556	Adult diarrheal rotavirus strain J19		0
NC_007557	Adult diarrheal rotavirus strain J19		0
NC_007558	Adult diarrheal rotavirus strain J19		0
NC_010820	African green monkey simian foamy virus		0
NC_001918	Aichi virus 1		0
JN860200	Alkhumra hemorrhagic fever virus		0
NC_001694	Alphapapillomavirus 3	Human_papillomavirus	1
NC_001352	Alphapapillomavirus 4	Human_papillomavirus	1
NC_001357	Alphapapillomavirus 7	Human_papillomavirus	1
NC_020471	Andean potato mild mosaic virus		0
NC_005080	Argentinian mammarenavirus		0
NC_005081	Argentinian mammarenavirus		0
NC_009026	Aroa virus		0
NC_011400	Astrovirus MLB1		0
HM450380	Astrovirus MLB1 HK05		0
NC_016155	Astrovirus MLB2		0
NC_019028	Astrovirus MLB3		0
GQ891990	Astrovirus SG		0
NC_013060	Astrovirus VA1		0
NC_019026	Astrovirus VA3		0
NC_019027	Astrovirus VA4		0
NC_003243	Australian bat lyssavirus		0
NC_025347	Avian avulavirus 7		0
NC_004198	Banna virus strain JKT-6423		0
NC_004200	Banna virus strain JKT-6423		0
NC_004201	Banna virus strain JKT-6423		0
NC_004202	Banna virus strain JKT-6423		0
NC_004203	Banna virus strain JKT-6423		0
NC_004204	Banna virus strain JKT-6423		0
NC_004211	Banna virus strain JKT-6423		0
NC_004217	Banna virus strain JKT-6423		0
NC_004218	Banna virus strain JKT-6423		0
NC_004219	Banna virus strain JKT-6423		0
NC_004220	Banna virus strain JKT-6423		0
NC_004221	Banna virus strain JKT-6423		0
NC_001786	Barmah Forest virus		0
NC_035758	Bastrovirus 7		0
NC_007803	Beilong virus		0
NC_038294	Betacoronavirus England 1		0
NC_006313	Brazilian mammarenavirus		0
NC_006317	Brazilian mammarenavirus		0
NC_024888	Bufavirus-3		0
NC_014373	Bundibugyo ebolavirus		0
NC_001925	Bunyamwera virus		0
NC_001926	Bunyamwera virus		0
NC_001927	Bunyamwera virus		0
NC_034479	Bwamba orthobunyavirus		0
NC_034480	Bwamba orthobunyavirus		0
NC_034490	Bwamba orthobunyavirus		0
NC_006439	Cali mammarenavirus		0
NC_006447	Cali mammarenavirus		0
AF145896	Camberwell virus		0
NC_038726	Catu virus		0
NC_038727	Catu virus		0
NC_038728	Catu virus		0
NC_039024	Central cimpanzee simian foamy virus		0
NC_006560	Cercopithecine alphaherpesvirus 2	Herpesvirus	1
NC_012783	Cercopithecine betaherpesvirus 5	Herpesvirus	1
NC_020805	Chandipura virus		0
NC_015373	Chandiru virus		0
NC_015374	Chandiru virus		0
NC_015375	Chandiru virus		0
NC_010562	Chapare mammarenavirus		0
NC_010563	Chapare mammarenavirus		0
AB042808	Chiba virus		0
NC_004162	Chikungunya virus		0
EU037962	Chikungunya virus Wuerzburg 1		0
NC_023888	Circo-like virus-Brazil hs1		0
JX559622	Circo-like virus-Brazil hs2		0
NC_004180	Colorado tick fever virus		0
NC_004181	Colorado tick fever virus		0
NC_004182	Colorado tick fever virus		0
NC_004183	Colorado tick fever virus		0
NC_004184	Colorado tick fever virus		0
NC_004185	Colorado tick fever virus		0
NC_004186	Colorado tick fever virus		0
NC_004187	Colorado tick fever virus		0
NC_004188	Colorado tick fever virus		0
NC_004189	Colorado tick fever virus		0
NC_004190	Colorado tick fever virus		0
NC_004191	Colorado tick fever virus		0
NC_012800	Cosavirus A		0
NC_012802	Cosavirus D		0
NC_012798	Cosavirus E		0
NC_034385	Cosavirus F		0
NC_025961	Cosavirus JMY-2014		0
NC_003663	Cowpox virus		0
JX174177	Coxsackievirus A1		0
HQ728262	Coxsackievirus A10		0
DQ995634	Coxsackievirus A11		0
KF422142	Coxsackievirus A12		0
DQ995640	Coxsackievirus A13		0
KP036483	Coxsackievirus A14		0
U05876	Coxsackievirus A16		0
FM955278	Coxsackievirus A17		0
AB205396	Coxsackievirus A18		0
DQ358078	Coxsackievirus A20		0
DQ995647	Coxsackievirus A22		0
D90457	Coxsackievirus A24		0
HQ728260	Coxsackievirus A4		0
HQ728261	Coxsackievirus A5		0
AB678778	Coxsackievirus A6		0
KM609480	Coxsackievirus A8		0
D00627	Coxsackievirus A9		0
M16560	Coxsackievirus B1		0
AF081485	Coxsackievirus B2		0
NC_038307	Coxsackievirus B3		0
AF311939	Coxsackievirus B4		0
X05690	Coxsackievirus B4		0
X67706	Coxsackievirus B5		0
AF039205	Coxsackievirus B6		0
NC_005300	Crimean-Congo hemorrhagic fever orthonairovirus		0
NC_005301	Crimean-Congo hemorrhagic fever orthonairovirus		0
NC_005302	Crimean-Congo hemorrhagic fever orthonairovirus		0
NC_039050	Cutavirus		0
NC_038416	Cyclovirus NG12		0
NC_038417	Cyclovirus NG14		0
NC_036877	Cyclovirus PK5006		0
NC_038415	Cyclovirus PK5034		0
NC_038413	Cyclovirus PK5222		0
NC_038412	Cyclovirus PK5510		0
GQ404848	Cyclovirus PK6197		0
NC_038418	Cyclovirus SL-108277		0
GQ404858	Cyclovirus TN18		0
NC_038414	Cyclovirus TN25		0
NC_039215	Cyclovirus VN		0
KF907503	Dengue virus		0
NC_001477	Dengue virus 1		0
NC_001474	Dengue virus 2		0
NC_001475	Dengue virus 3		0
NC_002640	Dengue virus 4		0
AF221065	DG-75 Murine leukemia virus		0
NC_034254	Dhori thogotovirus		0
NC_034255	Dhori thogotovirus		0
NC_034256	Dhori thogotovirus		0
NC_034261	Dhori thogotovirus		0
NC_034262	Dhori thogotovirus		0
NC_034263	Dhori thogotovirus		0
NC_004157	Dugbe orthonairovirus		0
NC_004158	Dugbe orthonairovirus		0
NC_004159	Dugbe orthonairovirus		0
NC_020810	Duvenhage lyssavirus		0
NC_039025	Eastern chimpanzee simian foamy virus		0
NC_003899	Eastern equine encephalitis virus		0
AF086833	"Ebola virus - Mayinga, Zaire, 1976"		0
X92886	Echovirus 9 strain Barty		0
X84981	Echovirus 9 strain Hill		0
AJ577589	Echovirus E11		0
X77708	Echovirus E12		0
AY302539	Echovirus E13		0
AY302540	Echovirus E14		0
AY302541	Echovirus E15		0
AY302542	Echovirus E16		0
AY302543	Echovirus E17		0
HM777023	Echovirus E18		0
AY302544	Echovirus E19		0
AY302545	Echovirus E2		0
AY302546	Echovirus E20		0
AY302547	Echovirus E21		0
AY302548	Echovirus E24		0
AY302549	Echovirus E25		0
AY302550	Echovirus E26		0
AY302551	Echovirus E27		0
AY302552	Echovirus E29		0
AY302553	Echovirus E3		0
AF162711	Echovirus E30		0
AF311938	Echovirus E30		0
AY302554	Echovirus E31		0
AY302555	Echovirus E32		0
AY302556	Echovirus E33		0
AY302557	Echovirus E4		0
AF083069	Echovirus E5		0
HM185056	Echovirus E6		0
U16283	Echovirus E6		0
AY302559	Echovirus E7		0
AF524867	Echovirus E9		0
JQ410350	Ectromelia virus ERPV		0
NC_038282	Ekpoma virus 1		0
NC_038283	Ekpoma virus 2		0
NC_001479	Encephalomyocarditis virus		0
AF352027	Enterovirus 5666/sin/002209		0
AF316321	Enterovirus 5865/sin/000009		0
NC_001612	Enterovirus A		0
LK021688	Enterovirus A120		0
U22521	Enterovirus A71		0
JF905564	Enterovirus A76		0
NC_001472	Enterovirus B		0
DQ902713	Enterovirus B100		0
AY843308	Enterovirus B101		0
KF990476	Enterovirus B106		0
KF312882	Enterovirus B111		0
AY302560	Enterovirus B69		0
KF874626	Enterovirus B73		0
AY556057	Enterovirus B74		0
