annotation	score
frameshift_variant	5
rare_amino_acid_variant	5
transcript_ablation	5
chromosome_number_variation	4
exon_loss_variant	4
start_lost	4
stop_gained	4
stop_lost	4
splice_acceptor_variant	3
splice_donor_variant	3
missense_variant	3
coding_sequence_variant	3
disruptive_inframe_deletion	3
disruptive_inframe_insertion	3
splice_region_variant	2
3_prime_UTR_truncation	2
5_prime_UTR_truncation	2
conservative_inframe_insertion	2
conservative_inframe_deletion	2
inframe_insertion	2
inframe_deletion	2
regulatory_region_ablation	2
TFBS_ablation	2
5_prime_UTR_premature_start_codon_gain_variant	1
3_prime_UTR_variant	1
5_prime_UTR_variant	1
initiator_codon_variant	1
TF_binding_site_variant	1
conserved_intergenic_variant	0
conserved_intron_variant	0
downstream_gene_variant	0
exon_variant	0
feature_elongation	0
feature_truncation	0
gene_variant	0
intergenic_region	0
intragenic_variant	0
intron_variant	0
mature_miRNA_variant	0
miRNA	0
NMD_transcript_variant	0
non_coding_transcript_exon_variant	0
non_coding_transcript_variant	0
regulatory_region_amplification	0
regulatory_region_variant	0
start_retained	0
stop_retained_variant	0
synonymous_variant	0
TFBS_amplification	0
transcript_amplification	0
transcript_variant	0
upstream_gene_variant	0
sequence_feature	0
non_coding_exon_variant	0
protein_protein_contact	0
structural_interaction_variant	0
