gene_name	source
ABCB1	LINX
AC093642.5	LINX
ACVR1	LINX
ACVR1B	LINX
ACVR2A	LINX
ADAM30	LINX
AGBL4	LINX
AIM1	LINX
AJUBA	LINX
AKT1	LINX
ALB	LINX
ALK	LINX
AMBRA1	LINX
AMER1	LINX
ANK1	LINX
ANKRD11	LINX
AP001464.4	LINX
APC	LINX
AR	LINX
ARAF	LINX
ARHGAP35	LINX
ARID1A	LINX
ARID1B	LINX
ARID2	LINX
ARID5B	LINX
ASXL1	LINX
ASXL2	LINX
ATG7	LINX
ATM	LINX
ATP1A1	LINX
ATP2B3	LINX
ATR	LINX
ATRX	LINX
AXIN1	LINX
AXIN2	LINX
AXL	LINX
B2M	LINX
BAP1	LINX
BARD1	LINX
BCL2	LINX
BCL9L	LINX
BCOR	LINX
BMPR2	LINX
BRAF	LINX
BRCA1	LINX
BRCA2	LINX
BRD7	LINX
BRIP1	LINX
BTK	LINX
C21orf91	LINX
CACNA1D	LINX
CALR	LINX
CARD11	LINX
CASP8	LINX
CASZ1	LINX
CBFB	LINX
CBL	LINX
CBLB	LINX
CCND1	LINX
CCND2	LINX
CCNE1	LINX
CCSER1	LINX
CD44	LINX
CD58	LINX
CD79A	LINX
CD79B	LINX
CDC73	LINX
CDH1	LINX
CDH10	LINX
CDK12	LINX
CDK4	LINX
CDK6	LINX
CDKN1A	LINX
CDKN1B	LINX
CDKN2A	LINX
CDKN2C	LINX
CDX2	LINX
CHD1	LINX
CHD4	LINX
CHEK1	LINX
CHEK2	LINX
CIC	LINX
CNOT3	LINX
COL2A1	LINX
CREBBP	LINX
CRLF2	LINX
CSF1	LINX
CSF1R	LINX
CSF3R	LINX
CSMD1	LINX
CTCF	LINX
CTNNA1	LINX
CTNNB1	LINX
CUL3	LINX
CUX1	LINX
CXCR4	LINX
CYLD	LINX
DAXX	LINX
DDR2	LINX
DDX3X	LINX
DEPDC5	LINX
DGCR8	LINX
DIAPH2	LINX
DICER1	LINX
DLG2	LINX
DMD	LINX
DNM2	LINX
DNMT3A	LINX
DOCK8	LINX
DPYD	LINX
DROSHA	LINX
DUX4L7	LINX
EEF1A1	LINX
EGFR	LINX
ELF3	LINX
EML4	LINX
EP300	LINX
EPHA2	LINX
ERBB2	LINX
ERBB3	LINX
ERBB4	LINX
ERCC2	LINX
ERF	LINX
ERG	LINX
ESR1	LINX
ETNK1	LINX
ETS2	LINX
EYS	LINX
EZH2	LINX
FANCL	LINX
FAT1	LINX
FAT4	LINX
FBXL17	LINX
FBXO11	LINX
FBXW7	LINX
FGF3	LINX
FGFR1	LINX
FGFR2	LINX
FGFR3	LINX
FGFR4	LINX
FHIT	LINX
FLT1	LINX
FLT3	LINX
FLT4	LINX
FNTB	LINX
FOXA1	LINX
FOXA2	LINX
FOXL2	LINX
FOXO3	LINX
FOXP1	LINX
FOXQ1	LINX
FUBP1	LINX
G6PD	LINX
GAGE12J	LINX
GATA2	LINX
GATA3	LINX
GATA6	LINX
GMDS	LINX
GNAS	LINX
GPHN	LINX
GPS2	LINX
GRIN2A	LINX
GSK3B	LINX
GSTP1	LINX
GTF2I	LINX
H3F3A	LINX
H3F3B	LINX
HDHD1	LINX
HIF1A	LINX
HIST1H1C	LINX
