gene_name	ensembl_gene_id
A1CF	ENSG00000148584
ABCB1	ENSG00000085563
ABCB4	ENSG00000005471
ABI1	ENSG00000136754
ABL1	ENSG00000097007
ABL2	ENSG00000143322
AC093642.5	ENSG00000220804
ACAD8	ENSG00000151498
ACKR3	ENSG00000144476
ACO1	ENSG00000122729
ACSL3	ENSG00000123983
ACSL6	ENSG00000164398
ACTB	ENSG00000075624
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ADAM10	ENSG00000137845
ADAM30	ENSG00000134249
ADCY1	ENSG00000164742
AFF1	ENSG00000172493
AFF3	ENSG00000144218
AFF4	ENSG00000072364
AGBL4	ENSG00000186094
AGO3	ENSG00000126070
AHCTF1	ENSG00000153207
AHR	ENSG00000106546
AIM1	ENSG00000112297
AJUBA	ENSG00000129474
AKAP9	ENSG00000127914
AKT1	ENSG00000142208
AKT2	ENSG00000105221
AKT3	ENSG00000117020
ALB	ENSG00000163631
ALDH2	ENSG00000111275
ALK	ENSG00000171094
AMBRA1	ENSG00000110497
AMER1	ENSG00000184675
ANK1	ENSG00000029534
ANK3	ENSG00000151150
ANKRD11	ENSG00000167522
AP001464.4	ENSG00000229306
APAF1	ENSG00000120868
APC	ENSG00000134982
APITD1	ENSG00000175279
APOBEC3B	ENSG00000179750
AQR	ENSG00000021776
AR	ENSG00000169083
ARAF	ENSG00000078061
ARAP3	ENSG00000120318
ARFGAP1	ENSG00000101199
ARFGAP3	ENSG00000242247
ARFGEF1	ENSG00000066777
ARFGEF2	ENSG00000124198
ARHGAP26	ENSG00000145819
ARHGAP29	ENSG00000137962
ARHGAP35	ENSG00000160007
ARHGAP5	ENSG00000100852
ARHGEF10	ENSG00000104728
ARHGEF10L	ENSG00000074964
ARHGEF12	ENSG00000196914
ARHGEF2	ENSG00000116584
ARHGEF6	ENSG00000129675
ARID1A	ENSG00000117713
ARID1B	ENSG00000049618
ARID2	ENSG00000189079
ARID4A	ENSG00000032219
ARID4B	ENSG00000054267
ARID5B	ENSG00000150347
ARNT	ENSG00000143437
ARNTL	ENSG00000133794
ASH1L	ENSG00000116539
ASPM	ENSG00000066279
ASPSCR1	ENSG00000169696
ASXL1	ENSG00000171456
ASXL2	ENSG00000143970
ATF1	ENSG00000123268
ATF2	ENSG00000115966
ATG7	ENSG00000197548
ATIC	ENSG00000138363
ATM	ENSG00000149311
ATP1A1	ENSG00000163399
ATP2B3	ENSG00000067842
ATP6AP2	ENSG00000182220
ATR	ENSG00000175054
ATRX	ENSG00000085224
AURKA	ENSG00000087586
AXIN1	ENSG00000103126
AXIN2	ENSG00000168646
AXL	ENSG00000167601
B2M	ENSG00000166710
BABAM1	ENSG00000105393
BAP1	ENSG00000163930
BARD1	ENSG00000138376
BAX	ENSG00000087088
BAZ1A	ENSG00000198604
BAZ2B	ENSG00000123636
BCL10	ENSG00000142867
BCL11A	ENSG00000119866
BCL11B	ENSG00000127152
BCL2	ENSG00000171791
BCL2L12	ENSG00000126453
BCL3	ENSG00000069399
BCL6	ENSG00000113916
BCL7A	ENSG00000110987
BCL9	ENSG00000116128
BCL9L	ENSG00000186174
BCLAF1	ENSG00000029363
BCOR	ENSG00000183337
BCORL1	ENSG00000085185
BCR	ENSG00000186716
BIRC3	ENSG00000023445
BIRC6	ENSG00000115760
BLM	ENSG00000197299
BMP5	ENSG00000112175
BMPR1A	ENSG00000107779
BMPR2	ENSG00000204217
BPTF	ENSG00000171634
BRAF	ENSG00000157764
BRCA1	ENSG00000012048
BRCA2	ENSG00000139618
BRCC3	ENSG00000185515
BRD2	ENSG00000204256
BRD3	ENSG00000169925
BRD4	ENSG00000141867
BRD7	ENSG00000166164
BRE	ENSG00000158019
BRIP1	ENSG00000136492
BRWD1	ENSG00000185658
BTG1	ENSG00000133639
BTK	ENSG00000010671
BUB1B	ENSG00000156970
C15orf65	ENSG00000261652
C17orf70	ENSG00000185504
C19orf40	ENSG00000131944
C21orf91	ENSG00000154642
C2orf44	ENSG00000163026
CACNA1D	ENSG00000157388
CAD	ENSG00000084774
CALR	ENSG00000179218
CAMTA1	ENSG00000171735
CANT1	ENSG00000171302
CAPN7	ENSG00000131375
CARD11	ENSG00000198286
CARM1	ENSG00000142453
CARS	ENSG00000110619
CASC5	ENSG00000137812
CASP1	ENSG00000137752
CASP10	ENSG00000003400
CASP3	ENSG00000164305
CASP8	ENSG00000064012
CASP9	ENSG00000132906
CASZ1	ENSG00000130940
CAT	ENSG00000121691
CBFA2T3	ENSG00000129993
CBFB	ENSG00000067955
CBL	ENSG00000110395
CBLB	ENSG00000114423
CBLC	ENSG00000142273
CCAR1	ENSG00000060339
CCDC6	ENSG00000108091
CCNB1IP1	ENSG00000100814
CCNC	ENSG00000112237
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCND3	ENSG00000112576
CCNE1	ENSG00000105173
CCR4	ENSG00000183813
CCR7	ENSG00000126353
CCSER1	ENSG00000184305
CCT5	ENSG00000150753
CD209	ENSG00000090659
CD274	ENSG00000120217
CD28	ENSG00000178562
CD36	ENSG00000135218
CD44	ENSG00000026508
CD58	ENSG00000116815
CD74	ENSG00000019582
CD79A	ENSG00000105369
CD79B	ENSG00000007312
CDC27	ENSG00000004897
CDC73	ENSG00000134371
CDH1	ENSG00000039068
CDH10	ENSG00000040731
CDH11	ENSG00000140937
CDH17	ENSG00000079112
CDK12	ENSG00000167258
CDK2	ENSG00000123374
CDK4	ENSG00000135446
CDK6	ENSG00000105810
CDKN1A	ENSG00000124762
CDKN1B	ENSG00000111276
CDKN2A	ENSG00000147889
CDKN2B	ENSG00000147883
CDKN2C	ENSG00000123080
CDX2	ENSG00000165556
CEBPA	ENSG00000245848
CEP290	ENSG00000198707
CEP89	ENSG00000121289
CHCHD7	ENSG00000170791
CHD1	ENSG00000153922
CHD1L	ENSG00000131778
CHD2	ENSG00000173575
CHD3	ENSG00000170004
CHD4	ENSG00000111642
CHD6	ENSG00000124177
CHD8	ENSG00000100888
CHD9	ENSG00000177200
CHEK1	ENSG00000149554
CHEK2	ENSG00000183765
CHIC2	ENSG00000109220
CHST11	ENSG00000171310
CIC	ENSG00000079432
CIITA	ENSG00000179583
CLASP2	ENSG00000163539
CLCC1	ENSG00000121940
CLCN2	ENSG00000114859
CLIP1	ENSG00000130779
CLOCK	ENSG00000134852
CLP1	ENSG00000172409
CLSPN	ENSG00000092853
CLTC	ENSG00000141367
CLTCL1	ENSG00000070371
CNBD1	ENSG00000176571
CNBP	ENSG00000169714
CNOT1	ENSG00000125107
CNOT3	ENSG00000088038
CNOT4	ENSG00000080802
CNTNAP1	ENSG00000108797
CNTNAP2	ENSG00000174469
CNTRL	ENSG00000119397
COL1A1	ENSG00000108821
COL2A1	ENSG00000139219
COL3A1	ENSG00000168542
COPS2	ENSG00000166200
COPS3	ENSG00000141030
COPS4	ENSG00000138663
COPS5	ENSG00000121022
COPS6	ENSG00000168090
COX6C	ENSG00000164919
CPEB3	ENSG00000107864
CR1	ENSG00000203710
CRBN	ENSG00000113851
