ResolvedType	Group	Whitelist	BlacklistComment
COMPLEX		1	
DEL		1	
DEL_TI		0	"Low counts, not discriminating"
DOUBLE_MINUTE		1	
DUP		1	
DUP_BE		1	
DUP_TI		0	"Low counts, not discriminating"
FB_INV_PAIR	FOLDBACK	0	"Low counts, not discriminating"
INF		0	"Low confidence, not discriminating"
INS		0	"Low counts, not discriminating"
INV		1	
LINE		-1	Extracted directly from GRIDSS vcf
LOW_VAF		-1	Low confidence
PAIR_INF	PAIR	1	
PAIR_OTHER	PAIR	1	
RECIP_INV		1	
RECIP_INV_DEL_DUP		1	
RECIP_INV_DUPS		1	
RECIP_TRANS		1	
RECIP_TRANS_DEL_DUP		1	
RECIP_TRANS_DUPS		1	
RESOLVED_FOLDBACK	FOLDBACK	0	"Low counts, not discriminating"
SGL	SGL	1	
SGL_PAIR_DEL	SGL	1	
SGL_PAIR_DUP	SGL	1	
SGL_PAIR_INS	SGL	1	
SIMPLE_GRP		0	"Low counts, not discriminating"
UNBAL_TRANS	UNBAL_TRANS	1	
UNBAL_TRANS_TI	UNBAL_TRANS	0	"Low counts, not discriminating"
