fivePrimeBreakendId	threePrimeBreakendId	name	reported	reportedType	phased	likelihood	chainLength	chainLinks	chainTerminated	domainsKept	domainsLost	skippedExonsUp	skippedExonsDown	fusedExonUp	fusedExonDown	geneStart	geneContextStart	transcriptStart	geneEnd	geneContextEnd	transcriptEnd	junctionCopyNumber
3531	3534	ATM_ATM	false	NONE	OUT_OF_FRAME	NA	0	0	false			0	0	26	35	ATM	Exon 26	ENST00000278616	ATM	Exon 35	ENST00000278616	2.4912
5646	5647	YIF1A_STX3	false	NONE	INFRAME	NA	0	0	true			0	0	2	2	YIF1A	Exon 2	ENST00000471387	STX3	Promoter Region	ENST00000300150	0.2460
5648	3240	MYEOV_AAMDC	false	NONE	INFRAME	NA	0	0	false			0	0	2	2	MYEOV	Exon 2	ENST00000544781	AAMDC	Promoter Region	ENST00000526415	0.7181
4112	5649	SLN_PSMA6	false	NONE	INFRAME	NA	0	0	false			0	0	1	2	SLN	Exon 1	ENST00000531293	PSMA6	Promoter Region	ENST00000555764	0.9996
1459	1453	ERGIC1_ERGIC1	false	NONE	OUT_OF_FRAME	NA	0	0	false			0	0	5	5	ERGIC1	Exon 5	ENST00000393784	ERGIC1	Exon 5	ENST00000393784	0.8282
1120	1114	NKD2_NKD2	false	NONE	OUT_OF_FRAME	NA	47	1	true			0	0	4	4	NKD2	Exon 4	ENST00000296849	NKD2	Exon 4	ENST00000296849	5.3884
5650	2988	TPCN2_PPP6R3	false	NONE	INFRAME	NA	0	0	false			0	0	5	2	TPCN2	Exon 5	ENST00000535009	PPP6R3	Promoter Region	ENST00000393801	6.6922
1135	1132	MYO10_IRX2	false	NONE	INFRAME	NA	0	0	true			0	0	1	2	MYO10	Exon 1	ENST00000513610	IRX2	Promoter Region	ENST00000382611	4.4614
3256	3261	CLPB_AAMDC	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	7	4	CLPB	Exon 7	ENST00000294053	AAMDC	Exon 4	ENST00000526415	2.4685
1118	1137	NKD2_MYO10	false	NONE	SKIPPED_EXONS	NA	278	3	true			1	0	3	2	NKD2	Exon 3	ENST00000296849	MYO10	Exon 2	ENST00000513610	4.4431
5440	5442	THADA_AL035681.1	false	NONE	INFRAME	NA	0	0	true			0	0	36	2	THADA	Exon 36	ENST00000405006	AL035681.1	Promoter Region	ENST00000598651	0.6234
3540	3536	ATM_AP001925.1	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	41	2	ATM	Exon 41	ENST00000278616	AP001925.1	Promoter Region	ENST00000596081	5.0485
4671	4645	DDHD1_CRTC3	false	NONE	SKIPPED_EXONS	NA	3698	1	true			0	1	1	15	DDHD1	Exon 1	ENST00000323669	CRTC3	Exon 15	ENST00000268184	0.5426
5651	1555	OFCC1_DEK	false	NONE	INFRAME	NA	0	0	false			0	0	1	2	OFCC1	Exon 1	ENST00000485268	DEK	Promoter Region	ENST00000397239	2.2787
3216	3212	PAK1_CHRDL2	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	4	2	PAK1	Exon 4	ENST00000278568	CHRDL2	Promoter Region	ENST00000263671	0.9918
2760	2759	CNIH2_GOLPH3	false	NONE	INFRAME	NA	0	0	false			0	0	1	3	CNIH2	Exon 1	ENST00000311445	GOLPH3	Exon 3	ENST00000265070	0.4054
5652	2163	ZFHX4_LIN28B	false	NONE	INFRAME	NA	0	0	false			0	0	2	4	ZFHX4	Exon 2	ENST00000519536	LIN28B	Exon 4	ENST00000345080	0.8130
791	786	RAD54L2_DOCK3	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	17	39	RAD54L2	Exon 17	ENST00000409535	DOCK3	Exon 39	ENST00000266037	0.9577
2799	2722	YIF1A_KHDRBS2	false	NONE	INFRAME	NA	98525	1	true			0	0	4	2	YIF1A	Exon 4	ENST00000376901	KHDRBS2	Exon 2	ENST00000281156	0.4256
2377	2379	NKD2_GLIS3	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	3	5	NKD2	Exon 3	ENST00000296849	GLIS3	Exon 5	ENST00000381971	4.5764
5653	4899	ERN1_TEX2	false	NONE	INFRAME	NA	0	0	false			0	0	1	2	ERN1	Exon 1	ENST00000584041	TEX2	Promoter Region	ENST00000258991	0.4690
3041	3047	RNF121_RNF121	false	NONE	OUT_OF_FRAME	NA	0	0	true			0	0	3	5	RNF121	Exon 3	ENST00000361756	RNF121	Exon 5	ENST00000361756	2.1447
5654	1698	KCTD20_SRSF3	false	NONE	INFRAME	NA	0	0	false			0	0	2	2	KCTD20	Exon 2	ENST00000536244	SRSF3	Promoter Region	ENST00000373715	0.8286
3191	3190	C11orf30_GLIS3	false	NONE	SKIPPED_EXONS	NA	0	0	true			1	0	6	5	C11orf30	Exon 6	ENST00000529032	GLIS3	Exon 5	ENST00000381971	2.8166
5613	5655	NQO1_KARS	false	NONE	SKIPPED_EXONS	NA	106467	1	false			0	1	3	3	NQO1	Exon 3	ENST00000320623	KARS	Promoter Region	ENST00000302445	0.5789
1783	5656	EYS_PHF3	false	NONE	INFRAME	NA	0	0	true			0	0	42	4	EYS	Exon 42	ENST00000503581	PHF3	Exon 4	ENST00000505138	6.1616
3407	3399	GOLPH3_KHDRBS2	false	NONE	SKIPPED_EXONS	NA	18085	1	false			0	1	2	3	GOLPH3	Exon 2	ENST00000265070	KHDRBS2	Exon 3	ENST00000281156	0.8855
2727	2722	STX3_KHDRBS2	false	NONE	INFRAME	NA	0	0	true			0	0	3	2	STX3	Exon 3	ENST00000337979	KHDRBS2	Exon 2	ENST00000281156	0.6053
5657	2189	HIVEP1_RNF144B	false	NONE	INFRAME	NA	197	1	false			0	0	1	2	HIVEP1	Exon 1	ENST00000541134	RNF144B	Promoter Region	ENST00000259939	3.2783
5658	3220	FCHSD2_PAK1	false	NONE	INFRAME	NA	0	0	false			0	0	2	2	FCHSD2	Exon 2	ENST00000458644	PAK1	Exon 2	ENST00000278568	0.4796
3454	3455	MAML2_DCUN1D5	false	NONE	SKIPPED_EXONS	NA	0	0	true			0	2	1	4	MAML2	Exon 1	ENST00000524717	DCUN1D5	Promoter Region	ENST00000260247	6.5823
1118	1132	NKD2_IRX2	false	NONE	SKIPPED_EXONS	NA	20974	4	true			1	0	3	2	NKD2	Exon 3	ENST00000296849	IRX2	Promoter Region	ENST00000382611	4.9081
1136	1114	MYO10_NKD2	false	NONE	INFRAME	NA	227	3	true			0	0	1	4	MYO10	Exon 1	ENST00000513610	NKD2	Exon 4	ENST00000296849	4.6942
