fivePrimeBreakendId	threePrimeBreakendId	name	reported	reportedType	phased	likelihood	chainLength	chainLinks	chainTerminated	domainsKept	domainsLost	skippedExonsUp	skippedExonsDown	fusedExonUp	fusedExonDown	geneStart	geneContextStart	transcriptStart	geneEnd	geneContextEnd	transcriptEnd	junctionCopyNumber
122	130	MAN2B2_TBC1D14	false	NONE	SKIPPED_EXONS	NA	0	0	false			5	0	5	3	MAN2B2	Exon 5	ENST00000285599	TBC1D14	Exon 3	ENST00000409757	1.0055
1050	922	ZNF793_PLEKHA4	false	NONE	SKIPPED_EXONS	NA	0	0	true			1	9	1	16	ZNF793	Exon 1	ENST00000586187	PLEKHA4	Exon 16	ENST00000263265	0.9178
566	1051	GIPC1_ZNF791	false	NONE	INFRAME	NA	483	2	true			0	0	3	3	GIPC1	Exon 3	ENST00000393033	ZNF791	Exon 3	ENST00000600752	0.7961
575	1052	GIPC1_TECR	false	NONE	INFRAME	NA	838	4	true			0	0	3	2	GIPC1	Exon 3	ENST00000393033	TECR	Promoter Region	ENST00000598298	0.6474
1053	977	ZNF383_SIPA1L3	false	NONE	INFRAME	NA	7345	2	true			0	0	3	2	ZNF383	Exon 3	ENST00000586068	SIPA1L3	Promoter Region	ENST00000222345	0.8783
907	1054	PLEKHA4_HKR1	false	NONE	SKIPPED_EXONS	NA	8761	2	true			3	0	4	4	PLEKHA4	Exon 4	ENST00000263265	HKR1	Exon 4	ENST00000591134	0.8863
1055	657	PKN1_GIPC1	false	NONE	INFRAME	NA	2009	9	true			0	0	9	4	PKN1	Exon 9	ENST00000591461	GIPC1	Exon 4	ENST00000393033	0.7988
1053	862	ZNF383_FGF21	false	NONE	INFRAME	NA	0	0	true			0	0	3	2	ZNF383	Exon 3	ENST00000586068	FGF21	Promoter Region	ENST00000593756	0.8642
1050	789	ZNF793_SIPA1L3	false	NONE	SKIPPED_EXONS	NA	2547	2	true			1	2	1	4	ZNF793	Exon 1	ENST00000586187	SIPA1L3	Promoter Region	ENST00000222345	0.9156
1050	898	ZNF793_ZNF383	false	NONE	SKIPPED_EXONS	NA	353	1	true			1	5	1	7	ZNF793	Exon 1	ENST00000586187	ZNF383	Promoter Region	ENST00000589413	0.9694
900	1056	ZNF585B_ZNF540	false	NONE	INFRAME	NA	12573	2	true			0	0	2	3	ZNF585B	Exon 2	ENST00000532828	ZNF540	Exon 3	ENST00000586792	1.0328
1057	789	PLEKHA4_SIPA1L3	false	NONE	INFRAME	NA	2194	1	true			0	0	2	2	PLEKHA4	Exon 2	ENST00000596713	SIPA1L3	Promoter Region	ENST00000222345	0.9672
280	279	SOX5_SOX5	false	NONE	OUT_OF_FRAME	NA	0	0	false			0	0	4	12	SOX5	Exon 4	ENST00000451604	SOX5	Exon 12	ENST00000451604	0.9977
739	1058	HKR1_RUVBL2	false	NONE	INFRAME	NA	4009	1	false			0	0	1	2	HKR1	Exon 1	ENST00000324411	RUVBL2	Promoter Region	ENST00000601968	0.8915
